GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model,com.jsql.model.injection.strategy.blind.patch,DiffMatchPatch.LinesToCharsResult,0,12,0,0,0,1,0,1,0,1
model,com.jsql.model.injection.strategy.blind.patch,Diff,51,62,11,7,10,19,10,8,3,6
model,com.jsql.model.injection.strategy.blind.patch,DiffMatchPatch,655,2126,132,290,148,463,85,149,1,20
model,com.jsql.model.injection.strategy.blind.patch,DiffMatchPatch.Operation,0,21,0,0,0,2,0,1,0,1
model,com.jsql.model.injection.engine,MediatorEngine.new Engine() {...},0,82,2,6,0,17,2,4,0,2
model,com.jsql.model.injection.engine,MediatorEngine,36,1040,0,12,12,106,12,41,12,35
model,com.jsql.model.injection.strategy.blind.callable,BinRanges,0,12,0,0,0,1,0,1,0,1
model,com.jsql.model.injection.strategy.blind.callable,AbstractCallableBit,3,37,0,0,1,13,1,8,1,8
model,com.jsql.model.injection.strategy.blind.callable,CallableCharInsertion,3,77,0,4,2,20,0,7,0,5
model,com.jsql.model.injection.strategy.blind.callable,CallableEngine,0,76,0,4,0,19,0,7,0,5
model,com.jsql.model.injection.strategy.blind.callable,CallableTime,0,106,0,2,0,22,0,5,0,4
model,com.jsql.model.injection.strategy.blind.callable,CallableBlindBit,8,137,1,7,5,30,1,9,0,6
model,com.jsql.model.injection.strategy.blind.callable,CallableBlindBin,0,140,0,8,0,30,0,11,0,7
model,com.jsql.model.injection.strategy.blind.callable,CallableMultibit,2,105,0,4,1,22,1,7,1,5
model,com.jsql.model.accessible.engine,ExploitSqlite,202,203,5,1,36,35,7,7,4,7
model,com.jsql.model.accessible.engine,ExploitDerby,132,194,3,1,26,31,4,6,2,6
model,com.jsql.model.accessible.engine,ExploitOracle,203,26,4,0,28,7,5,2,3,2
model,com.jsql.model.accessible.engine,ExploitPostgres,532,1306,39,43,92,214,36,32,6,21
model,com.jsql.model.accessible.engine,ExploitH2,168,261,4,2,31,45,6,8,3,8
model,com.jsql.model.accessible.engine,ExploitHsqldb,132,200,3,1,26,31,4,6,2,6
model,com.jsql.model.accessible.engine,ExploitMysql,418,883,48,50,81,159,45,32,6,22
model,com.jsql.model,AbstractModelObservable,0,66,0,0,0,13,0,10,0,10
model,com.jsql.model,InjectionModel,143,1133,16,66,35,248,15,58,3,29
model,com.jsql.model,MediatorUtils,0,63,0,0,0,1,0,1,0,1
model,com.jsql.model.accessible.engine.derby,File,0,33,0,0,0,13,0,7,0,7
model,com.jsql.model.accessible.engine.derby,ModelYamlDerby,0,15,0,0,0,5,0,3,0,3
model,com.jsql.util.tampering,TamperingType,6,113,0,0,2,20,0,3,0,3
model,com.jsql.util.tampering,ModelYamlTampering,9,22,0,0,3,10,3,6,3,6
model,com.jsql.model.accessible.engine.sqlite,Extension,6,37,0,0,2,15,2,7,2,7
model,com.jsql.model.accessible.engine.sqlite,ModelYamlSqlite,3,32,0,0,1,12,1,6,1,6
model,com.jsql.model.accessible.engine.oracle,ModelYamlOracle,3,12,0,0,1,4,1,2,1,2
model,com.jsql.model.accessible.engine.oracle,Udf,21,52,0,0,7,22,7,8,7,8
model,com.jsql.model.injection.strategy.blind,InjectionBlindBit,45,310,8,26,17,54,8,20,0,11
model,com.jsql.model.injection.strategy.blind,InjectionBlindBin,55,496,11,39,18,93,12,28,2,13
model,com.jsql.model.injection.strategy.blind,AbstractInjectionMonobit,0,104,0,4,0,15,0,5,0,3
model,com.jsql.model.injection.strategy.blind,AbstractInjectionBit.BlindOperator,0,27,0,0,0,2,0,1,0,1
model,com.jsql.model.injection.strategy.blind,InjectionTime,53,230,8,20,19,45,8,13,0,7
model,com.jsql.model.injection.strategy.blind,AbstractInjectionBit,26,302,2,20,7,68,2,19,0,10
model,com.jsql.model.injection.strategy.blind,InjectionMultibit,20,343,5,23,7,63,5,21,0,12
model,com.jsql.model.injection.strategy.blind,InjectionEngine,43,252,5,19,16,48,5,15,0,8
model,com.jsql.model.injection.strategy.blind,InjectionCharInsertion,43,336,5,19,16,57,5,15,0,8
model,com.jsql.model.accessible.engine.h2,ModelYamlH2,0,27,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.engine.h2,Rce,3,60,0,0,1,24,1,12,1,12
model,com.jsql.model.accessible.engine.h2,File,6,27,0,0,2,11,2,5,2,5
model,com.jsql.model.accessible.engine.mysql,File,0,23,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.engine.mysql,ModelYamlMysql,0,27,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.engine.mysql,AddFunction,0,33,0,0,0,13,0,7,0,7
model,com.jsql.model.accessible.engine.mysql,Udf,0,57,0,0,0,21,0,11,0,11
model,com.jsql.model.accessible.engine.mysql,TempTable,0,73,0,0,0,29,0,15,0,15
model,com.jsql.model.accessible.engine.mysql,AddFile,3,32,0,0,1,12,1,6,1,6
