GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model,com.jsql.model.injection.strategy.blind.patch,DiffMatchPatch.LinesToCharsResult,12,0,0,0,5,0,1,0,1,0
model,com.jsql.model.injection.strategy.blind.patch,Patch,208,0,14,0,46,0,20,0,12,0
model,com.jsql.model.injection.strategy.blind.patch,DiffMatchPatch,5301,0,687,0,1112,0,393,0,43,0
model,com.jsql.model.injection.strategy.blind.patch,DiffMatchPatch.Operation,21,0,0,0,2,0,1,0,1,0
model,com.jsql.model.injection.strategy.blind.patch,Diff,114,0,20,0,32,0,19,0,9,0
model,com.jsql.model.bean.util,Header,75,0,0,0,13,0,1,0,1,0
model,com.jsql.model.bean.util,Request,17,0,0,0,7,0,5,0,5,0
model,com.jsql.model.bean.util,Interaction,364,0,0,0,55,0,3,0,3,0
model,com.jsql.model.bean.util,HttpHeader,36,0,0,0,13,0,7,0,7,0
model,com.jsql.model.accessible,CallableHttpHead,204,0,4,0,52,0,9,0,7,0
model,com.jsql.model.accessible,DataAccess,964,9,28,0,194,4,27,2,13,2
model,com.jsql.model.accessible,ResourceAccess,2251,44,144,0,497,12,112,2,40,2
model,com.jsql.model.accessible,CallableFile,110,0,4,0,27,0,8,0,6,0
model,com.jsql.model.injection.strategy,StrategyInjectionTime,220,7,14,0,48,3,21,2,14,2
model,com.jsql.model.injection.strategy,AbstractStrategy,75,12,2,0,20,5,9,1,8,1
model,com.jsql.model.injection.strategy,MediatorStrategy,356,92,26,0,87,13,24,4,11,4
model,com.jsql.model.injection.strategy,StrategyInjectionMultibit,159,7,8,0,32,3,14,2,10,2
model,com.jsql.model.injection.strategy,StrategyInjectionError,373,10,22,0,79,4,29,2,18,2
model,com.jsql.model.injection.strategy,StrategyInjectionBlind,220,7,14,0,48,3,21,2,14,2
model,com.jsql.model.injection.strategy,StrategyInjectionNormal,387,10,24,0,64,4,26,2,14,2
model,com.jsql.model.injection.strategy,StrategyInjectionStacked,268,10,14,0,59,4,22,2,15,2
model,com.jsql.model,AbstractModelObservable,33,6,0,0,8,2,6,1,6,1
model,com.jsql.model,InjectionModel,1128,203,74,0,267,37,66,6,29,6
model,com.jsql.model,MediatorUtils,48,95,0,0,16,45,16,25,16,25
model,com.jsql.model.injection.vendor,MediatorVendor.new Vendor() {...},78,7,8,0,16,1,5,1,1,1
model,com.jsql.model.injection.vendor,MediatorVendor,319,488,12,0,67,43,35,3,29,3
model,com.jsql.util.tampering,TamperingType,6,106,0,0,2,19,0,3,0,3
model,com.jsql.util.tampering,ModelYamlTampering,9,22,0,0,3,10,3,6,3,6
model,com.jsql.model.exception,LoopDetectedSlidingException,6,0,0,0,2,0,1,0,1,0
model,com.jsql.model.exception,AbstractSlidingException,52,10,6,0,23,4,8,1,5,1
model,com.jsql.model.exception,InjectionFailureException,9,4,0,0,4,2,2,1,2,1
model,com.jsql.model.exception,StoppedByUserSlidingException,15,0,0,0,6,0,3,0,3,0
model,com.jsql.model.exception,JSqlException,5,4,0,0,2,2,1,1,1,1
model,com.jsql.view.terminal,SystemOutTerminal,4,0,0,0,2,0,1,0,1,0
model,com.jsql.view.interaction,SubscriberInteraction,94,0,2,0,30,0,8,0,7,0
model,com.jsql.model.injection.strategy.blind,AbstractInjectionMonobit,137,0,4,0,16,0,5,0,3,0
model,com.jsql.model.injection.strategy.blind,InjectionTime,264,0,30,0,63,0,21,0,6,0
model,com.jsql.model.injection.strategy.blind,AbstractInjectionBoolean,328,0,22,0,84,0,20,0,9,0
model,com.jsql.model.injection.strategy.blind,CallableCharInsertion,78,0,4,0,18,0,6,0,4,0
model,com.jsql.model.injection.strategy.blind,InjectionBlind,295,0,30,0,66,0,23,0,8,0
model,com.jsql.model.injection.strategy.blind,AbstractInjectionBoolean.BooleanMode,27,0,0,0,2,0,1,0,1,0
model,com.jsql.model.injection.strategy.blind,CallableMultibit,113,0,4,0,24,0,9,0,7,0
model,com.jsql.model.injection.strategy.blind,InjectionMultibit,399,0,30,0,71,0,27,0,12,0
