GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model,com.jsql.model.injection.strategy.blind.callable,AbstractCallableBit,6,34,0,0,2,12,2,7,2,7
model,com.jsql.model.injection.strategy.blind.callable,CallableVendor,0,76,0,4,0,19,0,7,0,5
model,com.jsql.model.injection.strategy.blind.callable,CallableCharInsertion,0,76,0,4,0,19,0,7,0,5
model,com.jsql.model.injection.strategy.blind.callable,CallableTime,0,106,0,2,0,22,0,5,0,4
model,com.jsql.model.injection.strategy.blind.callable,CallableBlindBit,0,112,0,4,0,24,0,8,0,6
model,com.jsql.model.injection.strategy.blind.callable,CallableBlindBin,0,133,0,4,0,30,0,11,0,9
model,com.jsql.model.injection.strategy.blind.callable,CallableMultibit,2,108,0,4,1,23,1,8,1,6
model,com.jsql.model.accessible.vendor.derby,ModelYamlDerby,0,15,0,0,0,5,0,3,0,3
model,com.jsql.model.accessible.vendor.derby,File,0,33,0,0,0,13,0,7,0,7
model,com.jsql.model.accessible.vendor.postgres,Archive,0,93,0,0,0,37,0,19,0,19
model,com.jsql.model.accessible.vendor.postgres,Write,0,27,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.postgres,LargeObject,0,43,0,0,0,17,0,9,0,9
model,com.jsql.model.accessible.vendor.postgres,TempTable,6,27,0,0,2,11,2,5,2,5
model,com.jsql.model.accessible.vendor.postgres,Program,0,23,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.postgres,Read,3,32,0,0,1,12,1,6,1,6
model,com.jsql.model.accessible.vendor.postgres,Confirm,0,23,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.postgres,File,0,27,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.postgres,Sql,0,75,0,0,0,29,0,15,0,15
model,com.jsql.model.accessible.vendor.postgres,Library,0,53,0,0,0,21,0,11,0,11
model,com.jsql.model.accessible.vendor.postgres,ModelYamlPostgres,0,27,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.postgres,Extension,0,23,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.postgres,Udf,0,143,0,0,0,53,0,27,0,27
model,com.jsql.model,AbstractModelObservable,0,66,0,0,0,13,0,10,0,10
model,com.jsql.model,InjectionModel,147,1299,16,68,36,290,14,62,2,32
model,com.jsql.model,MediatorUtils,6,137,0,0,2,59,2,39,2,39
model,com.jsql.model.injection.vendor,MediatorVendor,15,897,0,12,5,115,5,40,5,34
model,com.jsql.model.injection.vendor,MediatorVendor.new Vendor() {...},0,85,2,6,0,17,2,4,0,2
model,com.jsql.util.tampering,TamperingType,6,106,0,0,2,19,0,3,0,3
model,com.jsql.util.tampering,ModelYamlTampering,9,22,0,0,3,10,3,6,3,6
model,com.jsql.view.interaction,SubscriberInteraction,17,78,1,1,7,23,3,5,2,5
model,com.jsql.model.accessible.vendor.hsqldb,ModelYamlHsqldb,0,15,0,0,0,5,0,3,0,3
model,com.jsql.model.accessible.vendor.hsqldb,File,0,25,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.hsqldb,Read,3,30,0,0,1,12,1,6,1,6
model,com.jsql.model.injection.strategy.blind,InjectionBlindBit,44,244,7,19,17,45,7,14,0,8
model,com.jsql.model.injection.strategy.blind,AbstractInjectionMonobit,0,104,0,4,0,15,0,5,0,3
model,com.jsql.model.injection.strategy.blind,InjectionBlindBin,55,390,10,30,21,78,10,21,1,10
model,com.jsql.model.injection.strategy.blind,AbstractInjectionBit.BlindOperator,0,27,0,0,0,2,0,1,0,1
model,com.jsql.model.injection.strategy.blind,InjectionVendor,43,252,5,19,16,48,5,15,0,8
model,com.jsql.model.injection.strategy.blind,InjectionTime,53,219,8,20,19,43,8,13,0,7
model,com.jsql.model.injection.strategy.blind,AbstractInjectionBit,48,326,8,16,13,69,6,16,0,10
model,com.jsql.model.injection.strategy.blind,InjectionMultibit,20,343,5,23,7,63,5,21,0,12
model,com.jsql.model.injection.strategy.blind,InjectionCharInsertion,43,336,5,19,16,57,5,15,0,8
model,com.jsql.model.accessible.vendor.mysql,TempTable,0,73,0,0,0,29,0,15,0,15
model,com.jsql.model.accessible.vendor.mysql,File,0,23,0,0,0,9,0,5,0,5
model,com.jsql.model.accessible.vendor.mysql,AddFunction,0,33,0,0,0,13,0,7,0,7
model,com.jsql.model.accessible.vendor.mysql,AddFile,3,32,0,0,1,12,1,6,1,6
model,com.jsql.model.accessible.vendor.mysql,Udf,0,57,0,0,0,21,0,11,0,11
model,com.jsql.model.accessible.vendor.mysql,ModelYamlMysql,0,27,0,0,0,9,0,5,0,5
model,com.jsql.view.terminal.interaction,MessageBinary,0,21,0,0,0,6,0,3,0,3
model,com.jsql.view.terminal.interaction,MarkFileSystemVulnerable,0,16,0,0,0,5,0,4,0,4
model,com.jsql.view.terminal.interaction,MarkBlindBitInvulnerable,5,11,0,0,0,5,1,3,1,3
model,com.jsql.view.terminal.interaction,MarkBlindBinInvulnerable,5,11,0,0,0,5,1,3,1,3
model,com.jsql.view.terminal.interaction,AddExploitWebTab,16,0,0,0,5,0,4,0,4,0
model,com.jsql.view.terminal.interaction,MarkFileSystemInvulnerable,16,0,0,0,5,0,4,0,4,0
model,com.jsql.view.terminal.interaction,MarkTimeVulnerable,0,16,0,0,0,5,0,4,0,4
model,com.jsql.view.terminal.interaction,MessageHeader,23,106,0,0,0,18,5,3,5,3
model,com.jsql.view.terminal.interaction,AddColumns,0,37,0,2,0,9,0,5,0,4
model,com.jsql.view.terminal.interaction,MarkBlindBitVulnerable,0,16,0,0,0,5,0,4,0,4
model,com.jsql.view.terminal.interaction,MarkErrorInvulnerable,16,29,0,0,10,8,1,3,1,3
model,com.jsql.view.terminal.interaction,MarkTimeInvulnerable,5,11,0,0,0,5,1,3,1,3
