GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
view,com.jsql,MainApp,93,0,4,0,29,0,5,0,3,0
view,com.jsql.view.swing.util,ModelSvgIcon,2,120,1,5,0,30,1,12,0,10
view,com.jsql.view.swing.util,RadioItemPreventClose,4,41,1,5,2,14,2,7,1,5
view,com.jsql.view.swing.util,UiUtil.new DefaultCaret() {...},0,7,0,0,0,3,0,2,0,2
view,com.jsql.view.swing.util,MediatorHelper,4,66,0,0,2,40,2,26,2,26
view,com.jsql.view.swing.util,UiStringUtil,10,36,4,2,2,12,3,3,0,3
view,com.jsql.view.swing.util,I18nViewUtil,10,219,5,33,2,46,5,23,0,9
view,com.jsql.view.swing.util,UiUtil,37,772,2,8,10,133,2,13,0,10
view,com.jsql.view.swing.dialog.translate,Language,3,282,0,2,1,40,1,10,1,9
view,com.jsql.view.swing.dialog.translate,SortedProperties,30,32,2,2,8,7,3,3,2,2
view,com.jsql.view.swing.dialog.translate,WorkerTranslateInto,216,175,10,6,46,37,9,10,2,9
view,com.jsql.view.swing.table,ButtonClose,0,11,0,0,0,4,0,1,0,1
view,com.jsql.view.swing.table,ActionShowSearch,9,9,0,0,3,4,1,1,1,1
view,com.jsql.view.swing.table,FixedColumnTable,52,219,4,6,8,41,5,6,2,4
view,com.jsql.view.swing.table,PanelTable,33,328,1,3,9,74,4,10,3,9
view,com.jsql.view.swing.table,ActionCloseSearch,14,12,0,0,4,5,1,1,1,1
view,com.jsql.view.swing.table,AdjusterTableColumn.ToggleAction,28,12,8,0,5,4,5,1,1,1
view,com.jsql.view.swing.table,ComparatorColumn,53,3,8,0,20,1,5,1,1,1
view,com.jsql.view.swing.table,AdjusterTableColumn.ColumnAction,48,12,8,0,11,4,5,1,1,1
view,com.jsql.view.swing.table,RowHeaderRenderer,0,14,1,1,0,6,1,2,0,2
view,com.jsql.view.swing.table,FixedColumnTable.new JTable() {...},2,6,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.table,FixedColumnTable.new DefaultTableModel() {...},13,13,2,0,5,3,3,3,2,3
view,com.jsql.view.swing.table,AdjusterTableColumn,135,310,24,12,42,77,20,17,4,15
view,com.jsql.view.swing.table,PanelTable.new DocumentListener() {...},34,12,2,0,10,1,5,1,4,1
view,com.jsql.view.swing.table,PanelTable.new JTable() {...},2,8,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.table,PanelTable.new MouseAdapter() {...},43,6,2,0,10,1,2,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil,0,219,1,7,0,54,1,11,0,8
view,com.jsql.view.swing.action,ActionNewWindow,28,68,0,0,7,14,2,3,2,3
view,com.jsql.view.swing.action,ActionSaveTab,216,31,22,0,57,9,15,2,4,2
view,com.jsql.view.swing.action,ActionCheckIp,48,6,2,0,10,2,6,2,5,2
view,com.jsql.view.swing.action,AltKeyEventDispatcher,97,58,28,12,27,18,21,4,3,2
view,com.jsql.view.swing.action,ActionCloseTabResult,51,3,6,0,15,1,5,1,2,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},8,6,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},27,6,4,0,6,1,3,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},29,6,4,0,6,1,3,1,1,1
view,com.jsql.view.swing.menubar,MenuWindows.new AbstractAction() {...},6,9,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.menubar,MenuWindows.new JCheckBoxMenuItem() {...},8,9,2,0,3,1,2,1,1,1
view,com.jsql.view.swing.menubar,ActionTranslate,0,15,0,0,0,6,0,2,0,2
view,com.jsql.view.swing.menubar,AppMenubar.new MouseAdapter() {...},17,0,0,0,4,0,2,0,2,0
view,com.jsql.view.swing.menubar,AppMenubar,215,870,19,11,47,145,18,26,6,23
view,com.jsql.view.swing.menubar,ModelItemTranslate,0,16,0,0,0,7,0,4,0,4
view,com.jsql.view.swing.menubar,ActionCheckUpdate,13,3,0,0,4,1,2,1,2,1
view,com.jsql.view.swing.menubar,ModelCheckboxMenu,0,15,0,0,0,6,0,1,0,1
view,com.jsql.view.swing.menubar,MenuWindows,80,711,10,14,22,148,15,25,8,20
view,com.jsql.view.swing.tree.custom,CheckBoxMenuItemIconCustom,194,0,16,0,44,0,13,0,5,0
view,com.jsql.view.swing.tree.custom,JPopupMenuCustomExtract,42,3,0,0,18,1,12,1,12,1
view,com.jsql.view.swing.manager,ManagerBruteForce.new JButtonStateful() {...},5,10,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.manager,ManagerBruteForce.new JTextFieldPlaceholder() {...},5,10,0,0,1,1,1,1,1,1
