GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
view,com.jsql,MainApp,95,0,6,0,32,0,6,0,3,0
view,com.jsql.view.swing.util,ModelSvgIcon,2,120,1,5,0,30,1,12,0,10
view,com.jsql.view.swing.util,UiUtil.new DefaultCaret() {...},0,7,0,0,0,3,0,2,0,2
view,com.jsql.view.swing.util,MediatorHelper,4,66,0,0,2,40,2,26,2,26
view,com.jsql.view.swing.util,JSplitPaneWithZeroSizeDivider.SplitPaneWithZeroSizeDividerUI,0,27,0,2,0,6,0,3,0,2
view,com.jsql.view.swing.util,JSplitPaneWithZeroSizeDivider.ZeroSizeDivider,12,40,0,2,4,10,2,4,2,3
view,com.jsql.view.swing.util,UiStringUtil,10,17,4,2,2,6,3,3,0,3
view,com.jsql.view.swing.util,RadioItemNonClosing,0,45,1,5,0,16,1,8,0,6
view,com.jsql.view.swing.util,JSplitPaneWithZeroSizeDivider,0,57,0,2,0,18,0,4,0,3
view,com.jsql.view.swing.util,I18nViewUtil,14,192,6,18,2,30,6,19,0,9
view,com.jsql.view.swing.util,UiUtil,40,820,1,11,14,138,1,15,0,10
view,com.jsql.view.swing.dialog.translate,Language,3,282,0,2,1,40,1,10,1,9
view,com.jsql.view.swing.dialog.translate,SortedProperties,28,32,2,2,7,7,3,3,2,2
view,com.jsql.view.swing.dialog.translate,WorkerTranslateInto,126,290,9,7,28,57,9,11,2,10
view,com.jsql.view.swing.table,ButtonClose,0,11,0,0,0,4,0,1,0,1
view,com.jsql.view.swing.table,ActionShowSearch,9,9,0,0,3,4,1,1,1,1
view,com.jsql.view.swing.table,FixedColumnTable,52,219,4,6,8,41,5,6,2,4
view,com.jsql.view.swing.table,PanelTable,33,328,1,3,9,74,4,10,3,9
view,com.jsql.view.swing.table,ActionCloseSearch,14,12,0,0,4,5,1,1,1,1
view,com.jsql.view.swing.table,AdjusterTableColumn.ToggleAction,28,12,8,0,5,4,5,1,1,1
view,com.jsql.view.swing.table,ComparatorColumn,53,3,8,0,20,1,5,1,1,1
view,com.jsql.view.swing.table,AdjusterTableColumn.ColumnAction,48,12,8,0,11,4,5,1,1,1
view,com.jsql.view.swing.table,RowHeaderRenderer,0,14,1,1,0,6,1,2,0,2
view,com.jsql.view.swing.table,FixedColumnTable.new JTable() {...},2,6,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.table,FixedColumnTable.new DefaultTableModel() {...},13,13,2,0,5,3,3,3,2,3
view,com.jsql.view.swing.table,AdjusterTableColumn,141,315,25,13,44,79,21,18,4,16
view,com.jsql.view.swing.table,PanelTable.new DocumentListener() {...},34,9,2,0,10,1,5,1,4,1
view,com.jsql.view.swing.table,PanelTable.new JTable() {...},2,8,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.table,PanelTable.new MouseAdapter() {...},43,6,2,0,10,1,2,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil,0,220,1,7,0,51,1,10,0,7
view,com.jsql.view.swing.action,ActionNewWindow,28,68,0,0,7,14,2,3,2,3
view,com.jsql.view.swing.action,ActionSaveTab,244,31,21,0,58,9,15,2,4,2
view,com.jsql.view.swing.action,ActionCheckIp,57,6,4,0,12,2,7,2,5,2
view,com.jsql.view.swing.action,AltKeyEventDispatcher,97,58,28,12,27,18,21,4,3,2
view,com.jsql.view.swing.action,ActionCloseTabResult,51,3,6,0,15,1,5,1,2,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},8,6,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},27,6,4,0,6,1,3,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},29,6,4,0,6,1,3,1,1,1
view,com.jsql.view.swing.menubar,MenuWindows.new AbstractAction() {...},6,9,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.menubar,MenuWindows.new JCheckBoxMenuItem() {...},8,9,2,0,3,1,2,1,1,1
view,com.jsql.view.swing.menubar,ActionTranslate,0,15,0,0,0,6,0,2,0,2
view,com.jsql.view.swing.menubar,AppMenubar.new MouseAdapter() {...},8,6,0,0,3,1,1,1,1,1
view,com.jsql.view.swing.menubar,AppMenubar,86,1138,14,22,15,203,14,33,4,25
view,com.jsql.view.swing.menubar,ModelItemTranslate,0,16,0,0,0,7,0,4,0,4
view,com.jsql.view.swing.menubar,AppMenubar.new Record() {...},0,15,0,0,0,1,0,1,0,1
view,com.jsql.view.swing.menubar,ActionCheckUpdate,13,3,0,0,4,1,2,1,2,1
view,com.jsql.view.swing.menubar,ModelCheckboxMenu,0,34,0,0,0,10,0,2,0,2
view,com.jsql.view.swing.menubar,MenuWindows,78,719,11,15,22,153,16,24,8,19
view,com.jsql.view.swing.tree.custom,CheckBoxMenuItemIconCustom,194,0,16,0,44,0,13,0,5,0
view,com.jsql.view.swing.tree.custom,JPopupMenuCustomExtract,42,3,0,0,18,1,12,1,12,1
view,com.jsql.view.swing.manager,ManagerBruteForce.new JButtonStateful() {...},0,15,0,0,0,2,0,2,0,2
view,com.jsql.view.swing.manager,ManagerBruteForce.new JTextFieldPlaceholder() {...},5,10,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.manager,ManagerBruteForce.new JSpinner() {...},5,9,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.manager,ManagerBruteForce.new JTextFieldPlaceholder() {...},0,15,0,0,0,2,0,2,0,2
view,com.jsql.view.swing.manager,ManagerBruteForce.new JCheckBox() {...},5,11,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.manager,ManagerExploit.ActionExploit,186,9,28,0,51,3,18,1,4,1
view,com.jsql.view.swing.manager,ManagerDatabase.new KeyAdapter() {...},28,6,10,0,7,1,6,1,1,1
view,com.jsql.view.swing.manager,ManagerDatabase.new MouseAdapter() {...},24,32,4,2,6,5,3,2,0,2
view,com.jsql.view.swing.manager,ManagerFile.ActionFile.new SwingWorker() {...},94,0,2,0,20,0,3,0,2,0
view,com.jsql.view.swing.manager,ManagerFile,0,29,0,0,0,8,0,2,0,2
