GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
view,com.jsql.view.swing.radio,AbstractRadioLink,30,65,2,6,6,20,3,7,2,4
view,com.jsql.view.swing.radio,RadioMethodMouseAdapter,102,3,10,0,27,1,8,1,3,1
view,com.jsql.view.swing.radio,RadioLinkMethod,9,32,0,0,4,11,1,5,1,5
view,com.jsql,MainApplication,136,0,14,0,44,0,11,0,4,0
view,com.jsql.view.swing.dialog.translate,OrderedProperties.CustomProperties,40,14,4,0,6,4,8,2,6,2
view,com.jsql.view.swing.dialog.translate,Language,0,224,0,0,0,31,0,5,0,5
view,com.jsql.view.swing.dialog.translate,SwingWorkerGithubLocale,194,207,10,6,45,46,9,12,2,11
view,com.jsql.view.swing.dialog.translate,OrderedProperties.DateSuppressingPropertiesBufferedWriter,47,0,8,0,13,0,6,0,2,0
view,com.jsql.view.swing.dialog.translate,OrderedProperties.OrderedPropertiesBuilder,33,0,2,0,9,0,5,0,4,0
view,com.jsql.view.swing.dialog.translate,OrderedProperties,290,33,18,0,65,10,32,4,23,4
view,com.jsql.view.swing.util,UiUtil.new FocusListener() {...},0,28,0,0,0,9,0,3,0,3
view,com.jsql.view.swing.util,UiUtil.new DefaultCaret() {...},0,7,0,0,0,3,0,2,0,2
view,com.jsql.view.swing.util,UiUtil.new AbstractBorder() {...},6,37,0,0,2,7,0,2,0,2
view,com.jsql.view.swing.util,MediatorHelper,4,76,0,0,2,46,2,30,2,30
view,com.jsql.view.swing.util,UiStringUtil,23,36,4,2,3,12,3,3,0,3
view,com.jsql.view.swing.util,I18nViewUtil,18,54,2,4,3,14,2,7,0,6
view,com.jsql.view.swing.util,UiUtil,29,1281,3,3,7,219,3,17,0,17
view,com.jsql.view.swing.table,ActionShowSearch,9,9,0,0,3,4,1,1,1,1
view,com.jsql.view.swing.table,FixedColumnTable,52,231,4,6,8,43,5,6,2,4
view,com.jsql.view.swing.table,PanelTable,33,394,2,4,9,88,5,11,3,10
view,com.jsql.view.swing.table,ActionCloseSearch,14,12,0,0,4,5,1,1,1,1
view,com.jsql.view.swing.table,AdjusterTableColumn.ToggleAction,28,12,8,0,5,4,5,1,1,1
view,com.jsql.view.swing.table,ComparatorColumn,53,3,8,0,20,1,5,1,1,1
view,com.jsql.view.swing.table,AdjusterTableColumn.ColumnAction,48,12,8,0,11,4,5,1,1,1
view,com.jsql.view.swing.table,RowHeaderRenderer,0,22,0,2,0,7,0,3,0,2
view,com.jsql.view.swing.table,FixedColumnTable.new JTable() {...},2,6,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.table,FixedColumnTable.new DefaultTableModel() {...},13,13,2,0,5,3,3,3,2,3
view,com.jsql.view.swing.table,FixedColumnTable.new RowHeaderRenderer() {...},0,26,0,0,0,4,0,2,0,2
view,com.jsql.view.swing.table,AdjusterTableColumn,135,339,24,12,42,82,20,18,4,16
view,com.jsql.view.swing.table,PanelTable.new DocumentListener() {...},34,12,2,0,10,1,5,1,4,1
view,com.jsql.view.swing.table,PanelTable.new JTable() {...},2,8,0,0,1,1,1,1,1,1
view,com.jsql.view.swing.table,PanelTable.new MouseAdapter() {...},43,6,2,0,10,1,2,1,1,1
view,com.jsql.view.swing.menubar,Menubar.new MouseAdapter() {...},8,9,0,0,3,1,1,1,1,1
view,com.jsql.view.swing.menubar,Menubar.new BasicCheckBoxMenuItemUI() {...},5,6,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.menubar,Menubar,319,2676,32,30,60,423,47,44,26,34
view,com.jsql.view.swing.menubar,JMenuItemWithMargin,0,30,1,1,0,15,1,5,0,5
view,com.jsql.view.swing.menubar,Menubar.new ActionListener() {...},0,42,1,1,0,10,1,2,0,2
view,com.jsql.view.swing.menubar,ActionCheckUpdate,13,3,0,0,4,1,2,1,2,1
view,com.jsql.view.swing.action,HotkeyUtil,0,219,1,7,0,54,1,11,0,8
view,com.jsql.view.swing.action,ActionNewWindow,28,68,0,0,7,14,2,3,2,3
view,com.jsql.view.swing.action,ActionSaveTab,201,30,22,0,52,7,15,2,4,2
view,com.jsql.view.swing.action,ActionCheckIP,48,6,2,0,10,2,6,2,5,2
view,com.jsql.view.swing.action,AltKeyEventDispatcher,97,58,28,12,27,21,21,4,3,2
view,com.jsql.view.swing.action,ActionCloseTabResult,57,3,10,0,21,1,8,1,3,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},7,6,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},27,6,4,0,6,1,3,1,1,1
view,com.jsql.view.swing.action,HotkeyUtil.new AbstractAction() {...},29,6,4,0,6,1,3,1,1,1
view,com.jsql.view.swing.popupmenu,JPopupMenuComponent,0,111,0,4,0,28,0,4,0,2
view,com.jsql.view.swing.popupmenu,JPopupMenuTable.ActionCopy,19,6,0,0,3,1,1,1,1,1
view,com.jsql.view.swing.popupmenu,JPopupMenuTable.new PopupMenuListener() {...},10,6,2,0,5,1,4,1,3,1
view,com.jsql.view.swing.popupmenu,JPopupMenuTable.ActionSelectAll,5,6,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.popupmenu,JPopupMenuTable,0,99,0,0,0,27,0,2,0,2
view,com.jsql.view.swing.popupmenu,JPopupMenuComponent.new AbstractAction() {...},7,6,0,0,2,1,1,1,1,1
view,com.jsql.view.swing.popupmenu,JPopupMenuComponent.PopupMenuOrientedListener,37,6,2,0,12,1,4,1,3,1
